Usher	There Goes My Baby
John Lennon	Happy Xmas (War Is Over)
Slayer	Ghosts of War
Natalie Cole	L-O-V-E
The Prodigy	One Love
Ice Cube	Dirty Mack
Metallica	Metal Militia
Gene Vincent	Be-Bop-A-Lula
George Harrison	What Is Life
The Rolling Stones	Tie You Up (The Pain of Love)
Boyz II Men	Silent Night
Venom	Warhead
Paul McCartney	My Love
Sheryl Crow	A Change Would Do You Good
Slayer	Fight Till Death
Anthrax	Among the Living
Opeth	Heir Apparent
Sepultura	Territory
Bing Crosby	Sweet Leilani
